MATRICULA,OBSERVACAO
729493,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
9419799,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14765683,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
3316653,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14765420,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14765403,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14765381,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
9419853,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14765160,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764342,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764369,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764385,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764040,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764067,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
9419829,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764105,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764202,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764261,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764288,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
730750,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
729760,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
729574,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
9520074,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764849,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764822,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764768,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764741,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764687,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764547,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
9421874,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14764407,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
729639,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
14763885,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
9994068,NAO APRESENTOU DOCUMENTACAO PARA ATUALIZACAO CADASTRAL. NOTIFICACAO EM ANEXO NA MATRICULA
