#,MATRICULA,RA,OS
1,14793202,5383761,4394016
2,14793229,5383762,4394017
3,14793245,5383763,4394018
4,14793261,5383764,4394019
5,14793288,5383765,4394020
6,14793300,5383766,4394021
7,14793326,5383768,4394022
8,14793342,5383769,4394023
9,14793369,5383770,4394024
10,14793385,5383771,4394025
11,14793407,5383772,4394026
12,14793423,5383774,4394027
13,14793440,5383775,4394028
14,14793466,5383776,4394029
15,14793482,5383777,4394030
16,14793504,5383778,4394031
17,14793520,5383779,4394032
18,14793547,5383780,4394034
19,14793563,5383782,4394036
20,14793580,5383783,4394037
21,14793601,5383784,4394038
22,14793628,5383785,4394039
23,14793644,5383786,4394040
24,14793660,5383787,4394041
25,14793687,5383788,4394042
26,14793709,5383789,4394043
27,14793725,5383790,4394044
28,14793741,5383792,4394045
29,14793768,5383793,4394046
30,14793784,5383794,4394047
31,14793806,5383795,4394048
32,14793822,5383796,4394049
33,14793849,5383798,4394050
34,14793865,5383799,4394051
35,14793881,5383800,4394052
36,14793903,5383801,4394053
37,14793920,5383802,4394054
38,14793946,5383803,4394055
39,14793962,5383804,4394056
40,14793989,5383806,4394058
41,14794004,5383807,4394059
42,14794047,5383808,4394060
43,14794063,5383809,4394061
44,14794080,5383810,4394062
45,14794101,5383811,4394063
46,14794128,5383812,4394064
47,14794144,5383813,4394065
48,14794209,5383814,4394066
49,14794225,5383815,4394067
50,14794241,5383816,4394068
51,14794268,5383817,4394069
52,14794284,5383818,4394070
53,14794349,5383819,4394071
54,14794365,5383820,4394072
55,14794381,5383821,4394073
56,14794403,5383822,4394074
57,14794420,5383823,4394075
58,14794446,5383824,4394076
59,14794462,5383825,4394077
60,14794489,5383826,4394078
61,14794500,5383827,4394079
62,14794527,5383828,4394080
63,14794543,5383829,4394081
64,14794586,5383830,4394082
65,14794608,5383832,4394083
66,14794624,5383834,4394085
67,14794640,5383835,4394086
68,14794667,5383836,4394087
69,14794683,5383837,4394088
70,14794721,5383840,4394090
71,14794748,5383841,4394092
72,14794764,5383844,4394094
73,14794780,5383845,4394095
74,14794802,5383846,4394096
75,14794829,5383847,4394097
76,14794845,5383848,4394098
77,14794861,5383849,4394099
78,14794888,5383850,4394100
79,14794900,5383851,4394101
80,14794926,5383852,4394102
81,14794942,5383854,4394104
82,14794969,5383855,4394105
83,14794985,5383856,4394106
84,14795000,5383857,4394107
85,14795027,5383858,4394108
86,14795043,5383859,4394109
87,14795060,5383860,4394110
88,14795086,5383861,4394111
89,14795108,5383862,4394112
90,14795124,5383863,4394113
91,14795140,5383864,4394114
92,14795167,5383865,4394115
93,14795205,5383866,4394116
94,14795221,5383867,4394117
95,14795248,5383868,4394118
96,14795264,5383870,4394120
97,14795280,5383871,4394121
98,14795302,5383872,4394122
99,14795329,5383873,4394123
100,14795345,5383874,4394124
101,14795361,5383875,4394125
102,14795388,5383876,4394126
103,14795400,5383877,4394127
104,14795426,5383878,4394128
105,14795442,5383879,4394129
106,14795469,5383880,4394130
107,14795485,5383881,4394131
108,14795507,5383882,4394132
109,14795523,5383883,4394133
110,14795540,5383884,4394134
111,14795566,5383885,4394135
112,14795582,5383886,4394136
113,14795604,5383887,4394137
114,14795620,5383888,4394138
115,14795647,5383889,4394139
116,14795663,5383890,4394140
117,14795680,5383891,4394141
118,14795701,5383892,4394142
119,14795728,5383893,4394143
120,14795744,5383894,4394144
121,14795760,5383895,4394145
122,14795787,5383896,4394146
123,14795809,5383897,4394147
124,14795825,5383898,4394148
125,14795841,5383899,4394149
126,14795868,5383900,4394150
127,14795884,5383901,4394151
128,14795922,5383902,4394152
129,14795949,5383903,4394153
130,14795965,5383904,4394154
131,14795981,5383905,4394155
132,14796007,5383906,4394156
133,14796023,5383907,4394157
134,14796040,5383908,4394158
135,14796066,5383909,4394159
136,14796082,5383910,4394160
137,14796104,5383911,4394161
138,14796120,5383912,4394162
139,14796147,5383913,4394163
140,14796163,5383914,4394164
141,14796180,5383915,4394165
142,14796201,5383916,4394166
143,14796228,5383917,4394167
144,14796244,5383918,4394168
145,14796260,5383919,4394169
146,14796287,5383920,4394170
147,14796309,5383921,4394171
148,14796325,5383922,4394172
149,14796341,5383923,4394173
150,14796368,5383924,4394174
151,14796384,5383925,4394175
152,14796406,5383926,4394176
153,14796422,5383927,4394177
154,14796449,5383928,4394178
155,14796465,5383929,4394179
156,14796481,5383930,4394181
157,14796503,5383931,4394182
158,14796546,5383932,4394183
159,14796589,5383933,4394184
160,14796600,5383934,4394185
161,14796627,5383935,4394186
162,14796643,5383936,4394187
163,14796660,5383937,4394188
164,14796686,5383938,4394189
165,14796708,5383939,4394190
166,14796724,5383940,4394191
167,14796740,5383941,4394192
168,14796767,5383942,4394193
169,14796783,5383943,4394194
170,14796805,5383944,4394195
171,14796848,5383945,4394196
172,14796864,5383946,4394197
173,14796880,5383947,4394198
174,14796902,5383948,4394199
175,14796929,5383949,4394200
176,14796945,5383950,4394202
177,14796961,5383951,4394203
178,14797003,5383952,4394204
179,14797020,5383953,4394205
180,14797046,5383954,4394206
181,14797062,5383955,4394207
182,14797089,5383956,4394208
183,14797100,5383957,4394209
184,14797127,5383958,4394210
185,14797143,5383959,4394211
186,14797160,5383960,4394212
187,14797186,5383961,4394213
188,14797208,5383962,4394214
189,14797224,5383963,4394215
190,14797240,5383964,4394216
191,14797267,5383965,4394217
192,14797283,5383966,4394218
193,14797305,5383967,4394219
194,14797321,5383968,4394220
195,14797364,5383969,4394221
196,14797380,5383970,4394222
197,14797402,5383971,4394223
198,14797429,5383972,4394224
199,14797445,5383973,4394225
200,14797461,5383974,4394226
201,14797488,5383975,4394227
202,14797500,5383976,4394228
